definir_course 15
inscrire_skieur Worley France
inscrire_skieur Shiffrin USA
inscrire_skieur Brigone Italie
inscrire_skieur Mowinckel Norvege
inscrire_skieur Rebensburg Allemagne
inscrire_skieur Bassino Italie
inscrire_skieur Hansdotter Suede
inscrire_skieur Moelgg Italie
inscrire_skieur Fenninger Autriche
inscrire_skieur Goggia Italie
inscrire_skieur Vonn USA
inscrire_skieur Holdener Suisse
inscrire_skieur Weirather Liechtenstein
inscrire_skieur Fanchini Italie
inscrire_skieur Gisin Suisse
inscrire_skieur Rebensburg Allemagne
inscrire_skieur Vlhova Slovaquie
inscrire_skieur Curtoni Italie
inscrire_skieur Ferk Slovenie
inscrire_skieur Hansdotter Suede
inscrire_skieur Johnson USA
inscrire_skieur Gut Suisse
inscrire_skieur Suter Suisse
inscrire_skieur Shild Autriche
inscrire_skieur Alphand France
enregistrer_temps 0 0 101
enregistrer_temps 19.82 1 101
enregistrer_temps 35.46 2 101
disqualification 3 101 
afficher_classement 3
enregistrer_temps 120 0 102
enregistrer_temps 137.11 1 102
enregistrer_temps 154.54 2 102
enregistrer_temps 172.13 3 102
enregistrer_temps 188.31 4 102
enregistrer_temps 203.9 5 102
enregistrer_temps 219.16 6 102
enregistrer_temps 234.64 7 102
enregistrer_temps 240 0 103
enregistrer_temps 253.46 8 102
enregistrer_temps 256.87 1 103
enregistrer_temps 269.74 9 102
enregistrer_temps 273.9 2 103
enregistrer_temps 286.09 10 102
enregistrer_temps 292.91 3 103
enregistrer_temps 302.27 11 102
disqualification 4 103 
afficher_classement 4
enregistrer_temps 319.98 12 102
enregistrer_temps 335.43 13 102
enregistrer_temps 350.64 14 102
enregistrer_temps 360 0 104
enregistrer_temps 366.54 15 102
enregistrer_temps 378 1 104
enregistrer_temps 394.71 2 104
enregistrer_temps 410.27 3 104
enregistrer_temps 428.75 4 104
enregistrer_temps 447 5 104
enregistrer_temps 463.3 6 104
disqualification 7 104 
afficher_classement 7
enregistrer_temps 480 0 105
enregistrer_temps 498.13 1 105
enregistrer_temps 517.47 2 105
enregistrer_temps 536.2 3 105
enregistrer_temps 554.04 4 105
enregistrer_temps 572.73 5 105
enregistrer_temps 592.62 6 105
enregistrer_temps 600 0 106
enregistrer_temps 608.53 7 105
enregistrer_temps 616.9 1 106
enregistrer_temps 623.91 8 105
enregistrer_temps 634.82 2 106
enregistrer_temps 641.87 9 105
enregistrer_temps 650.96 3 106
enregistrer_temps 658.99 10 105
enregistrer_temps 668.09 4 106
enregistrer_temps 675.12 11 105
enregistrer_temps 684.46 5 106
disqualification 12 105 
afficher_classement 12
enregistrer_temps 701.58 6 106
enregistrer_temps 719.7 7 106
enregistrer_temps 720 0 107
disqualification 8 106 
enregistrer_temps 735.32 1 107
enregistrer_temps 752.2 2 107
enregistrer_temps 769.14 3 107
enregistrer_temps 784.43 4 107
enregistrer_temps 800.83 5 107
enregistrer_temps 816.75 6 107
enregistrer_temps 832.47 7 107
enregistrer_temps 840 0 108
enregistrer_temps 848.96 8 107
enregistrer_temps 856.01 1 108
enregistrer_temps 867.26 9 107
enregistrer_temps 873.14 2 108
enregistrer_temps 883.34 10 107
enregistrer_temps 890.88 3 108
enregistrer_temps 899.64 11 107
enregistrer_temps 909.85 4 108
enregistrer_temps 919.28 12 107
enregistrer_temps 928.64 5 108
enregistrer_temps 934.8 13 107
enregistrer_temps 945.05 6 108
enregistrer_temps 953.09 14 107
enregistrer_temps 960 0 109
enregistrer_temps 963.84 7 108
enregistrer_temps 971.5 15 107
enregistrer_temps 978.89 1 109
enregistrer_temps 981.27 8 108
enregistrer_temps 997.25 2 109
enregistrer_temps 999.46 9 108
enregistrer_temps 1014.59 3 109
enregistrer_temps 1018.58 10 108
enregistrer_temps 1031.52 4 109
enregistrer_temps 1035.67 11 108
enregistrer_temps 1051.21 12 108
enregistrer_temps 1051.24 5 109
enregistrer_temps 1068.2 6 109
enregistrer_temps 1070.61 13 108
enregistrer_temps 1080 0 110
enregistrer_temps 1083.42 7 109
enregistrer_temps 1088.86 14 108
enregistrer_temps 1096.52 1 110
enregistrer_temps 1101.08 8 109
enregistrer_temps 1107.27 15 108
enregistrer_temps 1112.89 2 110
enregistrer_temps 1117.91 9 109
enregistrer_temps 1131 3 110
enregistrer_temps 1134.95 10 109
enregistrer_temps 1146.89 4 110
enregistrer_temps 1153.23 11 109
enregistrer_temps 1164.82 5 110
enregistrer_temps 1170.53 12 109
enregistrer_temps 1180.63 6 110
enregistrer_temps 1189.83 13 109
enregistrer_temps 1198.37 7 110
enregistrer_temps 1200 0 111
enregistrer_temps 1206.13 14 109
disqualification 1 111 
afficher_classement 1
enregistrer_temps 1215.25 8 110
enregistrer_temps 1222.52 15 109
enregistrer_temps 1234.1 9 110
enregistrer_temps 1251.64 10 110
enregistrer_temps 1269.53 11 110
